,Dist1,Dist2,Pop,diff,num0,num1,num2
0,0.6281327087844596,0.9079694464765431,2.706849839399938,-1.0,0,0,1
6,0.6835088855389145,0.3026654485851825,2.60596727979128,-1.0,0,0,1
7,-1.7060859307350775,-1.1591194155484297,1.693722925204035,-1.0,0,0,1
13,-0.993263499973366,0.19679950499134005,1.9966522853695665,-1.0,0,0,1
16,-0.6102588558227414,-0.755325340010558,2.154846443259472,-1.0,0,0,1
19,-1.1338171615837889,0.6104779075384634,1.8628641384939535,-1.0,0,0,1
29,0.6663193209198146,-0.5382346255173922,1.541990408031232,-1.0,0,0,1
43,0.7290237321354455,-0.8630912690663913,2.3029872653509056,0.0,0,1,0
57,1.1300180527493824,0.897796311118923,1.7434769471227056,-1.0,0,0,1
63,-1.235614261466594,-0.7984279607352327,0.4967269541347468,-1.0,0,0,1
76,-0.8204631637242422,-1.029577156962552,1.2017440283185892,-1.0,0,0,1
95,-0.46875628568514655,0.8600970357844115,1.715950166352582,-1.0,0,0,1
98,1.5237504578803855,1.2902299309450938,2.7850096677486076,-1.0,0,0,1
108,0.060970809221258734,-1.5423927248905593,1.407188843201487,-1.0,0,0,1
110,0.17468320626554876,0.4634275027319352,1.509747011077927,0.0,0,1,0
112,-1.0483473351311796,-1.2813202935443193,1.2529436328908892,-1.0,0,0,1
134,0.3406341155687945,-1.2340575135468017,1.1913047760618745,-1.0,0,0,1
149,-0.21425798795187587,0.32499572522268844,1.2925450090585615,0.0,0,1,0
158,-0.008311476133225902,-0.9452243186372083,0.9412447874827957,-1.0,0,0,1
166,-0.6978587837559875,0.3581511794376568,1.892136757542003,0.0,0,1,0
168,-1.373762963985062,-2.586260103262429,1.2700494135755682,0.0,0,1,0
179,-0.3030509660932472,-0.8908135976346395,1.7372065772286167,-1.0,0,0,1
188,-0.49229924755107585,1.3380365633668907,1.9358209580700951,-1.0,0,0,1
194,-1.5661440186848394,1.0685264246078927,1.7537215584898294,-1.0,0,0,1
208,-0.5410671395047455,-0.6928657588809461,0.609785841567002,0.0,0,1,0
210,0.27238501394584513,-0.49797579562272454,2.12137034727789,-1.0,0,0,1
213,-1.9115484465394235,-0.33804867581062426,1.8236440153951956,-1.0,0,0,1
227,0.16208629758367663,-0.5062154208382617,1.0839929869651634,-1.0,0,0,1
233,0.10288452424681313,-0.8310116041427693,2.8644748447612587,-1.0,0,0,1
